no,type,data1,case1,case2,case3,case4,img
847,11,"위장관 출혈(Gastrointestinal hemorrhage)","창백, 빈맥, 어지러움, 혈변, 토혈, 호흡곤란","위궤양, 위 정맥류, 식도 정맥류, 십이지장 궤양","소화기내과, 소아소화기영양과",,11_161.jpg
848,11,"윌름즈 종양(Wilms Tumor)","복부 통증, 덩어리가 만져짐, 혈뇨, 고혈압, 열","신부전, 신경모세포종, 잠복고환증, 급성 신부전","소아청소년종양혈액과, 소아외과, 의학유전학센터, 의학유전학과, 소아비뇨의학과","빌름스 종양",11_162.jpg
850,11,"유당분해효소결핍증(Lactose intolerance)","복부 통증, 설사, 복부팽만감, 오심, 복부 불편감","음식 알레르기",가정의학과,"우유 소화불량,유당분해효소결핍,유당불내증,젖당분해효소결핍,젖당불내성",11_164.jpg
851,11,융모양막염(Chorioamnionitis),"비정상적인 진통, 압통, 비정상적 질 분비물, 열","패혈증, 조기 양막 파열, 조산, 급성 질염",산부인과,,11_165.jpg
852,11,"이상 태위(Malpresentation of fetus)","태동의 위치 이상, 무증상","다태아, 분만 후 출혈, 만기 정상 분만, 전치 태반",산부인과,"불완전태위,비정상적태위",11_166.jpg
853,11,"이소성 췌장(Ectopic pancreas)","무증상, 복부 통증, 복부팽만감, 구토, 오심","장폐색, 장중첩증","소화기내과, 소아소화기영양과","aberrant pancreas,heterotopic pancreas",11_167.jpg
854,11,"임신성 고혈압(Pregnancy-induced hypertension)","고혈압, 단백뇨, 시야장애, 두통","포상기태, 자간전증, 임신성 당뇨병, 다태아, 자간증",산부인과,,11_168.jpg
856,11,자간전증(Pre-eclampsia),"전신 부종, 시력 감소, 소변량 감소, 두통","임신성 당뇨병, 비만, 자간증, 임신성 고혈압",산부인과,"임신중독증,임신중독",11_170.jpg
857,11,자간증(Eclampsia),"뇌전증 발작 , 고혈압, 전신 부종, 시력 감소","임신성 당뇨병, 자간전증, 임신성 고혈압",산부인과,,11_171.jpg
858,11,"자궁 내 성장 지연(Intrauterine growth retardation)","임신 주수보다 작은 배, 양수의 감소, 태아 저체중","임신성 고혈압, 자간증, 자간전증, 임신성 당뇨병, 태반 조기 박리, 다태아, 조산",산부인과,"자궁 내 발육지연",11_172.jpg
860,11,"자궁경관무력증(Incompetent internal os of cervix)","복부경련, 복부 통증, 비정상적 질 분비물, 습관성 유산, 골반 통증","여성 불임, 비정상적 자궁, 질 출혈, 습관성 유산, 유산",산부인과,"자궁 무력증",11_174.jpg
862,11,"자궁내막 이상증식증(Endometrial hyperplasia)","생리불순, 월경과다, 비정상적 질출혈","자궁내막암, 자궁내막증, 자궁내막 용종, 자궁선근증",산부인과,"자궁내막 이상증식증,자궁내막증식,자궁내막증식증",11_176.jpg
863,11,자궁내막증(Endometriosis),"불임, 요통, 배뇨곤란, 설사, 복부 통증, 골반 통증, 배변습관의 변화","원발성 월경곤란, 여성 불임",산부인과,,11_177.jpg
864,11,자궁선근증(Adenomyosis),"복부 통증, 덩어리가 만져짐, 불임, 골반 통증, 월경과다","원발성 월경곤란, 철결핍빈혈, 여성 불임",산부인과,"endometriosis interna,선근증,자궁선근종,자궁선종,자궁선증",11_178.jpg
865,11,"자궁의 평활근종(Leiomyoma of uterus)","무증상, 복부 통증, 생식기 출혈, 골반 통증, 불임, 월경과다, 비정상적 질출혈, 요통","철결핍빈혈, 여성 불임, 원발성 월경곤란",산부인과,자궁근종,11_179.jpg
866,11,"자극성 장 증후군(Irritable bowel syndrome)","설사, 복부 통증, 변비, 점액변, 체중감소","흡수장애 증후군",소화기내과,"과민성대장,과민성대장증후군,과민성장증후군,과민성창자,과민성창자증후군,자극성 창자증후군,자극성대장증후군,자극성장증후군",11_180.jpg
868,11,"장간막 정맥 혈전증(Mesenteric Venous Thrombosis)","복부 통증, 복부 불편감, 오심, 설사, 구토, 식욕부진, 위장관 출혈","간경화, 문맥색전증, 복막염, 위장관 출혈, 위 정맥류, 식도 정맥류, 구토",응급의학과,,11_182.jpg
869,11,장염전(Volvulus),"복부 통증, 오심, 혈변, 변비, 구토, 복부팽만감, 장폐색","장중첩증, 위식도 역류성 질환",소아외과,"장꼬임,장염전증,장의 꼬임,장의 염전,장축염전증",11_183.jpg
870,11,"장유착(Intestine adhesions)","복부 통증, 소화불량, 구토, 변비, 체중감소",장폐색,소화기내과,장유착증,11_184.jpg
871,11,장중첩증(Intussusception),"혈변, 복부 통증, 덩어리가 만져짐, 점액변, 구토","장폐색, 장유착, 복부 통증, 장염전","산부인과, 소아외과","장겹칩증,창자겹침증",11_185.jpg
872,11,"장출혈성 대장균 감염증(Enterohemorrhagic Escherichia coli)","복부경련, 혈변, 빈혈, 설사, 복부 통증, 요독증, 혈소판감소","용혈성 요독 증후군, 대장균 감염","감염내과, 소화기내과","대장균 O157 감염증",11_186.jpg
873,11,"장티푸스(typhoid fever)","변비, 반점, 두통, 열, 설사, 오한","털진드기병, 세균성 이질, 아메바성 이질, 콜레라, 성홍열",감염내과,"염병,장질 부사",11_187.jpg
874,11,"장폐색(Intestinal obstruction)","복부 통증, 탈수, 빈맥, 변비, 저혈압, 설사, 구토, 장폐색, 복부팽만감","대장암, 직장암, 장중첩증, 메켈 게실, 장염전, 복막염, 소장암","소화기내과, 소아외과, 대장항문외과","ileus,장폐색증",11_188.jpg
875,11,"재발성 탈장(Recurrent hernia)","복부팽만감, 탈장 돌출, 탈장, 탈장 부위의 통증","반흔 탈장, 제대 탈장","소아외과, 위장관외과","재발성헤르니아,탈장재발",11_189.jpg
877,11,"전이성 신장암(Kidney, cancer, metastatic)","고혈압, 호흡곤란, 혈뇨, 기침, 두통","신세포암종, 고칼슘혈증",종양내과,전이신장암,11_191.jpg
878,11,"전치 태반(Placenta previa)","비정상적 질출혈","비정상적 자궁, 질 출혈, 태반 조기 박리, 분만 후 출혈",산부인과,,11_192.jpg
880,11,"제대 탈장(Umbilical hernia)","손가락으로 밀면 들어감, 탈장 돌출, 탈장 부위의 통증, 탈장, 배꼽이 솟음","비만, 재발성 탈장, 반흔 탈장, 간경화, 복수","소아외과, 위장관외과","Exomphalos,Omphalocele,배꼽 탈장,제대 허니아,제대 헤르니아",11_194.jpg
881,11,"조기 양막 파열(Premature rupture of membranes)","비정상적 질 분비물, 비정상적인 진통","이상 태위, 조산, 다태아",산부인과,"PROM,양막파수,양막파열,조기파막,조기양막파수",11_195.jpg
882,11,"조기 위암(Early gastric cancer)","무증상, 오심, 토혈, 소화불량, 복부 불편감","위암, 헬리코박터균 감염, 위궤양, 진행성 위암, 위염, 위선종, 만성 위염","소화기내과, 위장관외과, 암병원","위암 조기,초기위암",11_196.jpg
883,11,"조산(Prematurity delivery)","복부 통증, 복부경련, 복부 압박 증상, 비정상적 질출혈","태반 조기 박리, 전치 태반, 자간전증, 자간증",산부인과,"조기 출산",11_197.jpg
885,11,"직장 유암종(Rectal Carcinoid Tumor)","무증상, 복부 통증, 항문출혈, 환부 통증, 체중감소","대장 용종, 위 유암종, 카르시노이드 증후군",소화기내과,,11_199.jpg
886,11,"직장암(Rectal cancer)","설사, 혈변, 배변습관의 변화, 변비","항문 및 직장의 궤양, 대장의 양성 종양, 직장의 양성 종양, 대장암","종양내과, 방사선종양학과, 대장항문외과, 암병원","직장악성종양,직장암종",11_200.jpg
888,11,"진행성 위암(Advanced gastric cancer)","소화불량, 복부팽만감, 삼키기 곤란 , 토혈, 구토, 복부 불편감, 위장관 출혈, 빈혈, 체중감소, 오심, 복부 통증, 흑색변","위암, 위궤양, 조기 위암, 십이지장 궤양, 만성 위염, 위염","소화기내과, 종양내과, 위장관외과, 암병원",진행된위암,11_202.jpg
890,11,"총담관 담석(CBD stone)","복부 통증, 열, 오한, 무증상, 오심, 구토, 황달","담석, 담관암, 총담관 낭, 경화성 담관염, 간내 담석","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과","쓸개관 결석,총수담관 결석,총담관 결석",11_204.jpg
891,11,"충수암(appendiceal carcinoma)","열, 구토, 오한, 복부 통증, 식욕부진","급성 충수염, 복막염","종양내과, 대장항문외과, 암병원","맹장암,충수돌기암",11_205.jpg
892,11,"췌장 전이암(Pancreatic metastasis)","황달, 기운없음, 발한, 열, 복부 통증, 체중감소, 식욕부진","위암, 췌장암, 대장암, 유방암, 악성 흑색종, 폐암","소화기내과, 종양내과, 간담도췌외과","전이성 췌장 종양,전이성 췌장암",11_206.jpg
893,11,"췌장암(Pancreatic cancer)","구토, 열, 복부 통증, 회색변, 지방변, 황달, 오심, 체중감소","만성 췌장염, 췌장염","소화기내과, 종양내과, 방사선종양학과, 간담도췌외과, 간이식ㆍ간담도외과, 암병원","이자암,췌장 신경내분비암,췌장 신경내분비종,췌장 신경내분비종양,췌장선암,췌장악성종양,췌장암종,췌장의악성신생물",11_207.jpg
894,11,췌장염(Pancreatitis),"영양 불량, 복부 통증, 설사, 체중감소, 당뇨, 압통, 구토, 요통","총담관 담석, 급성 췌장염, 췌장암, 췌장 전이암, 담석, 만성 췌장염","소화기내과, 간담도췌외과","췌장염증,이자염",11_208.jpg
895,11,"카롤리병(Caroli’s disease)","복부 통증, 복부팽만감, 체중감소, 황달","담낭암, 담관암, 총담관 낭",소화기내과,"총담관낭 5형,카롤리증후군",11_209.jpg
896,11,콜레라(Cholera),"탈수, 오심, 설사, 열, 구토",신부전,감염내과,,11_210.jpg
897,11,"크론병(Crohn's disease)","관절염, 골다공증, 열, 복부 통증, 구토, 관절통, 식욕부진, 발한, 혈변, 피로감, 체중감소, 설사, 오심","골다공증, 자극성 장 증후군, 관절염, 궤양성 대장염, 항문 누공, 항문 주위 농양","소화기내과, 대장항문외과, 소아소화기영양과","국한성 창자염,염증성 장질환,육아종성 대장염,크론씨병",11_211.jpg
898,11,탄저병(Anthrax),"복부 통증, 열, 물집, 피부소양감, 감기 증상","패혈증, 바이러스성 뇌수막염",감염내과,탄저균,11_212.jpg
899,11,"탈항(Anal prolapse)","치핵의 탈출, 항문출혈, 소양감","항문 열구, 항문 누공, 치핵",소화기내과,"직장탈,탈출성 치핵",11_213.jpg
900,11,"태반 조기 박리(Abruptio placenta)","비정상적인 진통, 자궁 수축, 비정상적 질출혈, 골반 통증, 복부 통증","유산, 조기 양막 파열, 조산, 파종혈관내응고",산부인과,"Premature separation of placenta",11_214.jpg
901,11,"파라티푸스(Paratyphoid fever)","복부 통증, 발진, 두통, 설사","급성 위장염, 장티푸스, 세균성 이질, 콜레라",,,11_215.jpg
902,11,"항문 및 직장의 궤양(Ulcer of anus and rectum)","복부 통증, 오심, 혈변, 열, 설사, 잔변감","항문암, 항문 열구, 직장암, 치핵, 대장암, 항문 누공, 항문 주위 농양",소화기내과,,11_216.jpg
903,11,"헬리코박터균 감염(Helicobacter pylori infection)","소화불량, 십이지장궤양, 위궤양, 무증상, 위염","위암, 급성 위장염, 위궤양","가정의학과, 소화기내과, 노년내과, 소아소화기영양과","헬리코박터,헬리코박터균,헬리코박터파일로리감염증",11_217.jpg
904,11,"화농성 간농양(Pyogenic liver abscess)","황달, 오심, 근육통, 식욕부진, 복부 통증, 구토, 열","아메바성 간농양, 간내 담석, 간농양","감염내과, 소화기내과",,11_218.jpg
905,12,"가진통(False labor)","불규칙적 진통, 비정상적인 진통","조산, 만기 정상 분만, 조기 진통",산부인과,,12_1.jpg
906,12,감돈포경(Paraphimosis),"귀두가 울혈됨, 배뇨곤란, 생식기 통증","귀두포피염, 포경",비뇨의학과,과장포피,12_2.jpg
907,12,"계류 유산(Missed abortion)","복부 통증, 커지지 않는 자궁, 멍, 유방의 퇴행, 비정상적 질출혈, 비출혈, 체중감소",유산,산부인과,,12_3.jpg
908,12,"고환 여성화 증후군(Testicular feminization syndrome)","질은 없거나 짧은 맹관, 원형, 타원형의 탈모, 무월경, 자궁이 없음","안드로겐 불감성 증후군",어린이병원,"고환여성화,남성호르몬 불감성 증후군,Androgen insensitivity syndrome",12_4.jpg
909,12,"고환 종양(Tumors of testis)","고환 불쾌감, 고환에 낭이 만져짐, 생식기 부종, 생식기 통증","잠복고환증, 생식선 및 생식 세포의 신생물","종양내과, 방사선종양학과, 비뇨의학과",고환암,12_5.jpg
910,12,고환염(Orchitis),"탁한 소변, 열, 생식기 부종","부고환염, 임균성 요도염, 비임균성 요도염, 혈관염",비뇨의학과,고환염증,12_6.jpg
911,12,"고환의 염전(Torsion of testis)","오심, 골반 통증, 구토, 빈뇨","고환염, 부고환염",비뇨의학과,"고환 염전",12_7.jpg
912,12,"곰팡이 감염(Fungal infection)","피부소양감, 손,발톱이 갈라짐, 피부 각질, 발가락 사이 갈라짐","어린선, 무좀, 조갑백선, 진균성 각막 궤양",피부과,곰팡이질환,12_8.jpg
914,12,"과립막 세포종(Granulosa cell tumor)","복수, 무월경, 덩어리가 만져짐, 복부 통증, 비정상적 질출혈, 성조숙증, 생식기 출혈","난소암, 생식선 및 생식 세포의 신생물, 난소, 난관 이상, 난소의 양성 종양",산부인과,,12_10.jpg
915,12,귀두포피염(Balanoposthitis),"고름, 배뇨곤란",포경,"비뇨의학과, 소아비뇨의학과",,12_11.jpg
916,12,"급성 질염(Acute vaginitis)","배뇨 시 통증, 비정상적 질 분비물, 배뇨곤란, 소양감, 작열감, 악취","트리코모나스증, 노인성 질염, 칸디다성 외음질염",산부인과,질염,12_12.jpg
917,12,난관수종(Hydrosalpinx),"불임, 골반 통증, 희발월경","여성 불임, 성병, 임질, 난소, 난관 이상, 골반 염증성 질환",산부인과,,12_13.jpg
918,12,"난소, 난관 이상(Disorders of ovary, fallopian tube)","생리불순, 여드름, 불임","난소암, 여성 불임, 난소 낭종, 다낭성 난소 증후군",산부인과,"나팔관이상,난소이상",12_14.jpg
921,12,"노인성 질염(Senile (atrophic) vaginitis)","비정상적 질 분비물, 소양감, 작열감, 질의 건조함",폐경,산부인과,"노인성 질염,비특이성 질염,위축성 질염",12_17.jpg
922,12,"단순 포진(Herpes Simplex)","물집, 작열감, 소양감","헤르페스 바이러스 감염, 단순 포진성 뇌염, 대상포진",피부과,,12_18.jpg
923,12,"대장균 감염(Escherichia coli (E. coli) infection)","설사, 구토, 복부 통증, 두통","요로 감염, 급성 방광염, 바이러스성 장염, 식중독",감염내과,대장균,12_19.jpg
924,12,"만성 전립선염(Chronic prostatitis)","골반 통증, 배뇨곤란, 긴박뇨, 잔뇨감, 생식기 통증","양성 전립선 비대증, 전립선암",비뇨의학과,"만성 전립샘염",12_20.jpg
925,12,매독(Syphilis),무증상,"비임균성 요도염, 임질, 임균성 요도염, 남성 불임","감염내과, 비뇨의학과, 피부과","잠복 매독",12_21.jpg
926,12,"모호한 생식기(Ambiguous genitalia)","부분적 음순융합, 음핵비대, 무월경, 미소음경(micropenis), 외부 생식기가 모호함","터너 증후군","소아내분비대사과, 소아비뇨의학과","intersex,intersexual,간성,반음양,반음양자,인터섹슈얼",12_22.jpg
927,12,"무른 궤양(Chancroid)","림프 부종, 환부의 분비물, 생식기 궤양","성병, 매독","비뇨의학과, 산부인과","연성하감,헤모필루스 듀크레이균 감염",12_23.jpg
928,12,"바르톨린샘의 고름집(Abscess of Bartholin's gland)","반점, 환부 부종, 환부 통증","급성 질염, 노인성 질염, 칸디다성 외음질염, 요로 감염",산부인과,"바르톨린관 농양,바르톨린샘 낭종,바르톨린샘 농양,바르톨린샘의 고름집,바르톨린샘의",12_24.jpg
929,12,"배란통(Ovulation pain)","복부 통증, 오심, 두통",맹장염,산부인과,,12_25.jpg
930,12,"복압성 요실금(Stress urinary incontinence)","복부 통증, 진한 소변색, 빈뇨, 배뇨 시 통증, 소변이 샘, 요통, 악취","급성 질염, 자궁 탈출증, 요로 감염, 전립선암, 외상에 의한 척수 손상, 완전 척수 손상",비뇨의학과,"긴장성 요실금,스트레스성 요실금",12_26.jpg
931,12,부고환염(Epididymitis),"열, 생식기 통증, 배뇨곤란","요로 감염, 만성 전립선염","비뇨의학과, 소아비뇨의학과",부고환염증,12_27.jpg
932,12,"분만 후 출혈(Postpartum hemorrhage)","혼돈, 발한, 비정상적 질출혈, 어지러움, 빈맥","다태아, 전치 태반, 자궁내막암",산부인과,산후출혈,12_28.jpg
933,12,"비임균성 요도염(Nongonococcal urethritis)","배뇨 시 통증, 배뇨곤란, 피부소양감, 빈뇨","성병, 만성 전립선염, 임질",비뇨의학과,"비임질성 요도염,성기 클라미디아 감염증,클라미디아",12_29.jpg
934,12,"비정상적 자궁, 질 출혈(Abnormal uterine and vaginal bleeding)","가슴 두근거림, 빈맥, 저혈압, 비정상적 질출혈, 어지러움","계류 유산, 난소암, 자궁의 평활근종, 난소 낭종, 유산, 자궁경부암, 자궁내막암",산부인과,"dysfunctional uterine bleeding,기능성 자궁출혈,부정자궁출혈,자궁 질 출혈,자궁출혈,질출혈",12_30.jpg
935,12,"사면발이증(Pediculosis pubis)","소양감, 비정상적 질 분비물","비임균성 요도염, 트리코모나스증",피부과,음모슬증,12_31.jpg
936,12,"사춘기 조숙(Precocious puberty)","남: 9세 전 2차 성징, 여: 8세 전 2차 성징",비만,소아내분비대사과,"성조숙증,조발 사춘기",12_32.jpg
937,12,"샅(서혜)육아종(Granuloma inguinale)","물집, 생식기 궤양, 환부의 분비물, 발진","임균성 요도염, 후천성 면역결핍증, 매독, 임질, 첨형 콘딜로마","감염내과, 비뇨의학과, 산부인과","donovanosis,도노반증,사타구니육아종,샅고랑육아종,샅육아종,서혜육아종",12_33.jpg
938,12,"생식선 및 생식 세포의 신생물(Gonadal and germ cell neoplasma)","오심, 감기 증상, 배뇨 시 통증, 덩어리가 만져짐, 변비, 두통, 뇌압상승증상, 배뇨장애, 경련, 구토","만성 C형 간염, 융모막암종, 급성 B형 간염, 만성 B형 간염, 난소암, 급성 C형 간염","종양내과, 방사선종양학과, 소아청소년종양혈액과","Germ cell tumor,생식세포종,생식세포종양",12_34.jpg
939,12,"성기능장애(Sexual dysfunctions)","질의 건조함, 성욕감퇴","여성 불임, 폐경기 및 여성의 갱년기 상태, 남성 불임, 조루증, 남성 갱년기",비뇨의학과,"Sexualanesthesia,불감증",12_35.jpg
941,12,성선기능저하증(Hypogonadism),"성기크기 감소, 희발월경, 발한, 근력 약화, 유방 크기의 감소, 생리량 감소, 발기부전, 음낭이 잘 발달하지 않음, 생리불순, 무월경, 성욕감퇴, 체모감소, 안면홍조","클라인펠터 증후군 , 터너 증후군 , 누난 증후군 , 성기능장애",내분비내과,생식샘기능저하증,12_37.jpg
942,12,"신우요관암(Renal pelvis cancer)","혈뇨, 옆구리 통증, 요통","신세포암종, 방광암, 수신증","가정의학과, 종양내과, 비뇨의학과",신우뇨관암,12_38.jpg
943,12,"아두골반 불균형(Cephalopelvic disproportion)","활력징후 이상, 태아 심박동수 이상, 자궁 수축, 분만 지연","난산, 신생아 가사",산부인과,,12_39.jpg
944,12,"여성 불임(Female infertility)","복부 통증, 생리불순, 월경과다","다낭성 난소 증후군, 골반 염증성 질환",산부인과,"infertility,불임,여성 불임증",12_40.jpg
945,12,"외음부암(Vulvar Cancer)","소양감, 환부 부종, 생식기 출혈","자궁경부암, 바르톨린샘의 고름집, 자궁 탈출증, 질암","산부인과, 암병원",,12_41.jpg
946,12,"외음질의 이물(Foreign body in vulva and vagina)","복부 통증, 비정상적 질 분비물","대장균 감염, 아동 학대","산부인과, 응급의학과","질 및 외음부의 이물질",12_42.jpg
947,12,요도하열(Hypospadias),"정상적인 성생활 불가능, 요도가 아랫쪽에 위치",음경만곡증,"비뇨의학과, 소아비뇨의학과","hypospadia,요도밑열림증,요도하열증",12_43.jpg
948,12,"원발성 월경곤란(Primary dysmenorrhea)","복부 통증, 두통, 요통","자궁의 평활근종, 자궁선근증, 무월경, 자궁내막증",산부인과,"생리곤란증,생리통,원발성 월경곤란증,월경곤란,월경곤란증,월경통,일차성 생리통",12_44.jpg
949,12,"월경전 증후군(Premenstrual syndrome)","피부 긴장도 저하, 요통, 불안, 두통, 우울","무월경, 원발성 월경곤란, 과다월경, 희발월경",산부인과,"PMS,생리전 증후군",12_45.jpg
950,12,유산(Abortion),"비정상적 질출혈, 복부 통증","유산 후 계속되는 임신(다태), 습관성 유산, 계류 유산",산부인과,"사산,유발유산,자연유산",12_46.jpg
951,12,"유산 후 계속되는 임신(다태)(Continuing pregnancy after abortion)","비정상적 질출혈","유산, 계류 유산, 습관성 유산",산부인과,"반복유산,유산 후 계속되는 임신",12_47.jpg
952,12,융모막암종(Choriocarcinoma),"심인성 쇼크, 질에서 소변이 나옴, 구토, 배뇨곤란, 피로감","유방암, 자궁내막암","산부인과, 암병원","융모막 암,융모상피암",12_48.jpg
953,12,"음경 발기지속증(Priapism)","지속 발기","음경만곡증, 남성 불임",비뇨의학과,"발기지속,발기지속증,지속발기증",12_49.jpg
954,12,"음경만곡증(Peyronie’s disease)","음경이 휘어짐","음경 발기지속증",비뇨의학과,페이로니씨병,12_50.jpg
956,12,"음낭 내 부속기 염전(Intrascrotal appendage, torsion)","음낭 부종","잠복고환증, 고환염, 고환의 염전",비뇨의학과,음낭부속기염전,12_52.jpg
957,12,음낭수종(Hydrocele),"고환에 낭이 만져짐, 음낭 부종","부고환염, 잠복고환증, 재발성 탈장, 고환염","비뇨의학과, 소아외과, 소아비뇨의학과","물음낭증,음낭수류",12_53.jpg
958,12,"인유두종 바이러스 감염증(Human papiloma virus infection)","결절, 무증상","사마귀, 질암, 음경암, 첨형 콘딜로마, 자궁경부암, 외음부암",감염내과,"사람 유두종 바이러스 감염증,HPV",12_54.jpg
959,12,임질(Gonorrhea),"비정상적 질 분비물, 빈뇨, 요도 불쾌감, 열",성병,비뇨의학과,"임균감염증,임균성 요도염,성병",12_55.jpg
960,12,"자궁 경부의 이형성증(Dysplasia of cervix uteri)","비정상적 질출혈, 무증상",자궁경부암,산부인과,"자궁경부 이형성증,자궁경부 이형증,자궁경부이형성",12_56.jpg
961,12,"자궁 외 임신(Ectopic pregnancy)","빈맥, 창백, 빈호흡, 비정상적 질출혈, 복부 통증","여성 불임, 난소, 난관 이상",산부인과,"나팔관 임신,난관임신",12_57.jpg
963,12,"자궁 탈출증(Uterine Prolapse)","복부 압박 증상, 배뇨곤란, 질 밖으로 빠지는 느낌, 무증상, 달걀 위에 앉아있는 느낌","요실금, 방광의 신경근육 기능 장애",산부인과,"자궁탈출,자궁탈",12_59.jpg
967,12,"자궁의 비염증성 장애(Noninflammatory disorders of uterus)","염증 장애에 따라 다양","유산, 여성 불임",산부인과,"여성생식기비염증성장애,자궁비염증성장애",12_63.jpg
968,12,잠복고환증(Cryptorchidism),"음낭이 잘 발달하지 않음, 음낭이 작아 보임, 골반 통증","요도하열, 모호한 생식기","비뇨의학과, 소아비뇨의학과","잠복고환,정류고환,정류고환증",12_64.jpg
969,12,정계정맥류(Varicocele),"생식기 부종, 생식기 통증, 불임, 음낭 부종","음낭수종, 음낭 내 부속기 염전, 남성 불임, 하지 정맥류","비뇨의학과, 소아비뇨의학과",고환정맥류,12_65.jpg
970,12,정자부족증(Oligospermia),무증상,"음낭수종, 남성 불임, 정계정맥류",산부인과,감정자증,12_66.jpg
971,12,"조기 진통(Preterm labour)","태아의 하강감, 아랫배가 뭉침, 복부 통증, 자궁 수축","조기 양막 파열, 조산",산부인과,,12_67.jpg
973,12,"조루증(Premature ejaculation)","사정이 일찍 됨","성기능장애, 음경만곡증, 남성 불임",비뇨의학과,조루증,12_69.jpg
975,12,"첨형 콘딜로마(Condyloma accuminatum)","생식기 출혈, 회음부의 작은 돌기, 소양감",사마귀,"비뇨의학과, 산부인과","곤지름,뾰족콘딜로마,생식기 사마귀,성기사마귀,음부 사마귀,첨형 콘딜롬,콘딜롬,항문우췌,첨규형콘딜로마",12_71.jpg
976,12,"칸디다성 외음질염(Candidal vulvovaginitis)","비정상적 질 분비물, 환부 부종, 소양감, 생식기 통증, 배뇨 시 통증","급성 방광염",산부인과,"곰팡이성 질염,칸디다 질염,칸디다성 질염",12_72.jpg
977,12,"칼만 증후군(Kallmann syndrome)","후각장애, 색맹, 사춘기 지연, 입술, 입천장의 기형, 성선 기능 저하증","희발월경, 골다공증, 원발성 월경곤란, 구순열, 성선기능저하증, 무월경, 색약","내분비내과, 신경외과, 의학유전학센터, 소아내분비대사과, 의학유전학과",칼만신드롬,12_73.jpg
978,12,트리코모나스증(Trichomoniasis),"소양감, 작열감, 발적, 비정상적 질 분비물","비임균성 요도염",산부인과,"질트리코모나스,질트리코모나스증,트리코모나스,트리코모나스 감염,트리코모나스 질염,트리코모나스감염증,트리코모너스감염,트리코모너스질염",12_74.jpg
979,12,파라핀종(Paraffinoma),"열감, 피부소양감, 괴사, 피부궤양, 환부 통증","피부염, 피부 농양",성형외과,,12_75.jpg
981,12,포경(Phimosis),"발적, 생식기 부종","귀두포피염, 감돈포경",비뇨의학과,,12_77.jpg
982,12,"헤르페스 바이러스 감염(Herpesviral infection)","물집, 피부염증","대상포진, 구순포진, 대상포진 후 신경통","감염내과, 피부과","단순포진,단순포진 바이러스,헤르페스,헤르페스 바이러스",12_78.jpg
984,12,혈정액증(Hematospermia),"혈뇨, 배뇨곤란, 피가 정액에 나옴, 회음부 불쾌감",혈뇨,비뇨의학과,"정액피,피정액,혈정액",12_80.jpg
985,12,"회음 괴저(Fournier's gangrene)","변실금, 생식기 통증, 생식기 부종, 청색증, 오한, 열감","회음 열상","비뇨의학과, 산부인과","Fournier 괴저,푸르니에 괴저",12_81.jpg
986,12,"회음 열상(Perineal laceration)","회음부의 파열, 생식기 출혈","난산, 아두골반 불균형",산부인과,"외음파열,질회음열상,회음부열상",12_82.jpg
988,13,"VDT 증후군(Visual Display Terminal Syndrome)","어깨의 통증, 눈의 충혈, 피로감, 눈의 피로, 두통, 굽은 등, 저림, 손의 통증, 어깨 움직임의 제한","만성 피로 증후군, 거북목 증후군",정형외과,"VDT,VDT syndrome,VDT 신드롬,Visual Display Terminal Syndrome,영상 단말기 증후군",13_1.jpg
989,13,건초염(Tenosynovitis),"환부 통증, 환부 부종, 근위축","주관절 외상과염, 방아쇠 수지, 아킬레스 건염, 내상과염",정형외과,"건막염,건초염증,활막염,활액막염",13_2.jpg
990,13,결절종(Ganglion),"환부 통증, 덩어리가 만져짐",지방종,"성형외과, 정형외과","갱그리온,갱글리온",13_3.jpg
991,13,골관절염(Osteoarthritis),"무릎 부위 통증, 관절 운동성 감소, 무릎 부위 부종, 관절통, 관절의 경직","관절염, 류마티스 관절염, 소아 류마티스 관절염, 패혈성 관절염","정형외과, 류마티스내과","DJD,degenerative arthritis,degenerative joint disease,퇴행성관절염",13_4.jpg
993,13,"국소 다한증(Localized hyperhidrosis)","피부염증, 손,발,겨드랑이 발한, 겨드랑이 악취","접촉 피부염, 취한증",흉부외과,"다한증,손발바닥 땀과다증,땀과다증",13_6.jpg
994,13,"내향성 손발톱(Ingrowing nails)","환부 통증, 환부 부종, 발적, 육아조직","무좀, 당뇨병, 당뇨병성 족부 질환","성형외과, 피부과","내성발톱,내향성 손발톱,발톱감입,발톱감입증,조갑 갑입증",13_7.jpg
995,13,"다발성 신경병증(Polyneuropathy)","손, 발 감각 저하, 시림, 저림","급성 신부전, 알코올 의존성, 간경화, 당뇨병",신경과,"다발신경병증,다발신경증",13_8.jpg
996,13,다지증(polydactyly),,"방아쇠 수지, 부가지","성형외과, 정형외과, 수부외과",육손이,13_9.jpg
997,13,"당뇨병성 말초신경병증(Diabetic polyneuropathy)","말초 신경장애, 저림, 손, 발 감각 저하, 말초 통증, 무감각","당뇨병, 당뇨망막병증, 인슐린 비의존성 당뇨병, 인슐린 의존성 당뇨병, 당뇨병성 족부 질환",내분비내과,"당뇨병성신경병증,당뇨성말초신경병증,당뇨성신경병증",13_10.jpg
